section,target,prefill_signature,group,fixture,speculative_mode,sampling_mode,samples,prompt_tokens_mean,prompt_tokens_stddev,prefill_tok_s_mean,prefill_tok_s_stddev,server_ttft_ms_mean,server_ttft_ms_stddev,completion_tokens_mean,completion_tokens_stddev,decode_tok_s_mean,decode_tok_s_stddev,queue_wait_ms_mean,queue_wait_ms_stddev,engine_host_exposed_ms_mean,engine_host_exposed_ms_stddev,decode_host_us_per_round_mean,decode_host_us_per_round_stddev,decode_device_wait_us_per_round_mean,decode_device_wait_us_per_round_stddev,speculative_acceptance_mean,speculative_acceptance_stddev,speculative_tokens_per_round_mean,speculative_tokens_per_round_stddev
context_profile,qwen3_5_9b_nvfp4,cd986128587168d5d5a00752d5180bf27e4a611e24eb5f04bfc4bee55f9dbf5f,long_niah_8k,long_niah_8k,mtp0,stochastic,5,7680.0,0.0,1834.9160998826806,50.47535463647924,4191.681986400001,119.46373315222395,17.0,0.0,243.53171168299303,2.0673317346694122,0.7508174000000001,0.19036842419844738,3456.4109268,98.75173555845149,7.4119375000000005,2.263719289462449,4100.750075,33.119742865684735,,,,
context_profile,qwen3_5_9b_nvfp4,cd986128587168d5d5a00752d5180bf27e4a611e24eb5f04bfc4bee55f9dbf5f,long_niah_64k,long_niah_64k,mtp0,stochastic,5,64512.0,0.0,1759.889432999787,14.807769525308931,36690.0442832,312.40529470321417,17.0,0.0,212.40000173982162,0.9084551729080987,3.4339774000000007,0.3165263235037489,30505.756669200004,263.3081961485541,7.544575,2.0847803524517277,4702.3328125,18.546900380511346,,,,
context_profile,qwen3_5_9b_nvfp4,cd986128587168d5d5a00752d5180bf27e4a611e24eb5f04bfc4bee55f9dbf5f,long_niah_128k,long_niah_128k,mtp0,stochastic,5,130048.0,0.0,1684.080094337603,3.6642525937026296,77293.32750220003,168.67387968138618,17.0,0.0,183.99677807390088,0.4554741935612226,6.5366804,0.3848964584908523,63968.5127524,136.60449868887034,7.5445375,1.1352149908235991,5429.331012500001,13.025621085344962,,,,
context_profile,qwen3_5_9b_nvfp4,cd986128587168d5d5a00752d5180bf27e4a611e24eb5f04bfc4bee55f9dbf5f,long_niah_256k,long_niah_256k,mtp0,stochastic,5,260096.0,0.0,1544.7019323043955,1.7766466156136798,168527.54772300003,196.21247771153242,17.0,0.0,146.98663221445696,0.3776372083282637,12.3466318,0.1826116271947109,138345.8082906,162.77222257069437,7.8574,1.3523561286984007,6797.5645375,16.78220234341479,,,,
long_decode,qwen3_5_9b_nvfp4,cd986128587168d5d5a00752d5180bf27e4a611e24eb5f04bfc4bee55f9dbf5f,reasoning,long_decode_aime26_01,mtp3,stochastic,5,186.0,0.0,1713.2320854266588,29.824118844491394,109.0878052,1.9992237902490293,7238.6,1174.8177731035566,559.995804156056,8.831799280575698,0.205351,0.034895611471931536,64.2374554,4.792875667721921,13.109879137641078,0.1947579556790986,6196.301613468731,29.821513988549135,0.8258248329554545,0.015371426576247772,3.4774744988663633,0.046114279728743365
long_decode,qwen3_5_9b_nvfp4,cd986128587168d5d5a00752d5180bf27e4a611e24eb5f04bfc4bee55f9dbf5f,reasoning,long_decode_aime26_15,mtp3,stochastic,5,293.0,0.0,1744.3374959939945,6.755959843301637,168.4268914,0.7133736525600094,64011.2,3409.556452091679,483.1461462813253,6.627035874888326,0.2236552,0.05185106279720794,345.0968154,16.16031053038757,12.904672892741914,0.09303022254480167,6658.211884187896,27.25390990004033,0.7407892093970663,0.012830366155567104,3.222339021589975,0.03851297346179346
long_decode,qwen3_5_9b_nvfp4,cd986128587168d5d5a00752d5180bf27e4a611e24eb5f04bfc4bee55f9dbf5f,reasoning,long_decode_aime26_30,mtp3,stochastic,5,206.0,0.0,1757.1326574402203,6.7302721038274,117.64650859999999,0.46661866822632436,56544.4,10411.41788134546,500.6895332115213,8.493567938604254,0.19991260000000002,0.03560319609669896,273.4540558,40.696781239036675,13.223721509783676,0.33656968823584527,6589.906205531067,81.25177333100841,0.7684139580048918,0.018952982622165274,3.305225298656618,0.05682522526710137
scenario_fixture,qwen3_5_9b_nvfp4,cd986128587168d5d5a00752d5180bf27e4a611e24eb5f04bfc4bee55f9dbf5f,code,scenario_code_cuda,mtp3,stochastic,5,144.0,0.0,1710.1987039858989,43.43219838485687,84.85436360000001,2.1560467305781654,4096.0,0.0,440.3399592722127,15.605452108111125,0.204127,0.05354592729610723,41.2901564,0.5097771925525919,13.190081562143636,0.21252340244973575,6163.195505490513,3.1696422072587516,0.5733300470809161,0.032030434642832846,2.7192177534517405,0.095881655702784
scenario_fixture,qwen3_5_9b_nvfp4,cd986128587168d5d5a00752d5180bf27e4a611e24eb5f04bfc4bee55f9dbf5f,code,scenario_code_python,mtp3,stochastic,5,122.0,0.0,1663.3909545971462,27.800305289826667,73.96727999999999,1.1419316887526594,3941.8,344.80168213046755,497.12391698449227,24.834062423158116,0.18345080000000002,0.01970056573299355,29.5526438,2.7793684873321847,14.068362851270768,1.165352851302054,6218.15119333517,130.21562163078192,0.698723803902781,0.03938265876253759,3.096051636824351,0.11794257966797472
scenario_fixture,qwen3_5_9b_nvfp4,cd986128587168d5d5a00752d5180bf27e4a611e24eb5f04bfc4bee55f9dbf5f,code,scenario_code_typescript,mtp3,stochastic,5,122.0,0.0,1661.428308329278,31.31701514966751,74.036664,1.397731501959162,4096.0,0.0,493.22340830466965,18.307702150127763,0.21477880000000002,0.03869486405454864,29.7599784,1.0465922449367777,13.472355697427911,0.17540395461605263,6164.407415977144,3.0915935541876403,0.6822495392370741,0.03746896026355236,3.046559863061118,0.11257734491061501
scenario_category,qwen3_5_9b_nvfp4,cd986128587168d5d5a00752d5180bf27e4a611e24eb5f04bfc4bee55f9dbf5f,code,,mtp3,stochastic,15,129.33333333333334,10.734900802433865,1678.3393223041078,39.80501990422621,77.61943586666666,5.504661501847726,4044.6,199.07134399506123,476.8957615204582,32.56007196027311,0.20078553333333335,0.03923157798229575,33.53425953333333,5.901467492103745,13.576933370280774,0.7438504447039792,6181.9180382676095,74.52364632410432,0.6514344634069237,0.06673733936339786,2.953943084445737,0.20043756724744816
scenario_fixture,qwen3_5_9b_nvfp4,cd986128587168d5d5a00752d5180bf27e4a611e24eb5f04bfc4bee55f9dbf5f,story,scenario_story_zh_scifi,mtp3,stochastic,5,127.0,0.0,1635.5235324172604,4.57015234772555,78.1776418,0.24061196524424452,3912.0,196.80320119347653,334.42477540688003,10.32902002694129,0.19023500000000002,0.03391839663073715,37.6375338,0.8554284702011643,13.40251900271598,0.2533369521235658,6161.953248520124,4.240805352886483,0.35507434065092164,0.02121911955411603,2.0650720852442888,0.06352939091386192
scenario_fixture,qwen3_5_9b_nvfp4,cd986128587168d5d5a00752d5180bf27e4a611e24eb5f04bfc4bee55f9dbf5f,story,scenario_story_en_mystery,mtp3,stochastic,5,131.0,0.0,1685.828913281859,46.68495334167072,78.2638852,2.1126664102254127,4096.0,0.0,378.8556820733296,20.968128203431604,0.23425500000000002,0.06533048813532623,35.5593786,1.133365207990035,13.283266864089233,0.25232081705212184,6160.670861064945,0.9937174785848091,0.4463758111046269,0.04307407917504747,2.3385835191524977,0.12930539114855782
scenario_fixture,qwen3_5_9b_nvfp4,cd986128587168d5d5a00752d5180bf27e4a611e24eb5f04bfc4bee55f9dbf5f,story,scenario_story_zh_dialogue,mtp3,stochastic,5,135.0,0.0,1651.5746190300483,12.630405451966054,82.4444574,0.5762047297574033,3672.4,335.76896819092735,318.43002434208694,8.208448785124814,0.174309,0.002812653551363902,45.24910020000001,2.1557190738968526,13.079740943184586,0.15808912454822618,6156.764747147661,7.956035173418178,0.3215359600490972,0.01704087299261761,1.9646078801472917,0.051122618977852925
scenario_category,qwen3_5_9b_nvfp4,cd986128587168d5d5a00752d5180bf27e4a611e24eb5f04bfc4bee55f9dbf5f,story,,mtp3,stochastic,15,131.0,3.3806170189140663,1657.6423549097228,33.85083055704814,79.62866146666667,2.3739201578772886,3893.4666666666667,274.78013721796526,343.90349394076554,29.588746430490335,0.19959966666666668,0.04731905382864387,39.482004200000006,4.526871292537805,13.255175603329933,0.25039010857176347,6159.796285577576,5.359368192702791,0.3743287039348819,0.061019332156216854,2.122754494848026,0.18284975461926786
scenario_fixture,qwen3_5_9b_nvfp4,cd986128587168d5d5a00752d5180bf27e4a611e24eb5f04bfc4bee55f9dbf5f,translation,scenario_translation_zh_en,mtp3,stochastic,5,401.0,0.0,1776.33495816425,3.668978191865461,226.4191434,0.40237774357226097,705.8,61.28376620280447,487.43229642832546,11.463567279530734,0.20956900000000003,0.03757051596664599,142.3496938,0.8912064590636083,14.761567995955886,1.350191045634043,6098.311649964901,3.122944423178594,0.6601493862869786,0.02388743405877734,2.9804481588609355,0.07166230217633186
scenario_fixture,qwen3_5_9b_nvfp4,cd986128587168d5d5a00752d5180bf27e4a611e24eb5f04bfc4bee55f9dbf5f,translation,scenario_translation_en_zh,mtp3,stochastic,5,395.0,0.0,1767.121846150234,7.4683177378470305,224.12086600000004,0.9425259696514933,911.0,166.23477373883,483.229354645661,41.09264157184418,0.19310880000000002,0.042398420892764396,141.97589120000004,1.1365885547871608,14.367841499921184,0.5953704064568305,6103.294143003734,3.6980550017778278,0.6525649310953293,0.08410457474549371,2.9576947932859876,0.25231372423648113
scenario_fixture,qwen3_5_9b_nvfp4,cd986128587168d5d5a00752d5180bf27e4a611e24eb5f04bfc4bee55f9dbf5f,translation,scenario_translation_markdown,mtp3,stochastic,5,360.0,0.0,1797.941198409062,20.616646324286947,200.81275799999997,2.222179045027528,671.2,65.27020759887316,480.5558333848482,17.74662949365492,0.187817,0.00347789879093685,119.71969100000001,2.6430332606023916,13.907988009894098,0.13948702111093111,6094.139646349387,6.845313194154409,0.6456877702847661,0.0355134262202253,2.937063310854298,0.1065402786606759
scenario_category,qwen3_5_9b_nvfp4,cd986128587168d5d5a00752d5180bf27e4a611e24eb5f04bfc4bee55f9dbf5f,translation,,mtp3,stochastic,15,385.3333333333333,18.714649214935747,1780.4660009078486,17.887956135985796,217.11758913333333,12.044604469897486,762.6666666666666,148.95189380020204,483.7391614862782,24.871109646419523,0.1968316,0.031816303362988525,134.6817586666667,11.069946982298388,14.34579916859039,0.8706686512144037,6098.581813106007,5.923357246511441,0.6528006958890246,0.05081115772783562,2.958402087667074,0.15243347318350686
